date,network_activity
2021-10-08,0.0
2021-10-09,282.63638627529144
2021-10-10,0.0
2021-10-11,593.0732869133353
2021-10-12,0.0
2021-10-13,369.1796028763056
2021-10-14,322.8961402028799
2021-10-15,0.0
2021-10-16,117.15961771830916
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,127.68286495073698
2021-10-21,97.1826661992818
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,79.98674650490284
2021-10-27,128.23241079226136
2021-10-28,0.0
2021-10-29,170.86758946627378
2021-10-30,0.0
2021-10-31,100.09362863376737
2021-11-01,0.0
2021-11-02,265.9339496612083
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,453.0158822771628
2021-11-07,0.0
2021-11-08,20.95989222824573
2021-11-09,75017.29769168328
2021-11-10,0.0
2021-11-11,86.87157406006008
2021-11-12,0.0
2021-11-13,37.6934505738318
2021-11-14,54.44959157332778
2021-11-15,99634.22135091363
2021-11-16,282.3535047424957
2021-11-17,100.25917620398104
2021-11-18,456.7266820741352
2021-11-19,9022.694727002176
2021-11-20,1264.7951295748353
2021-11-21,141.24270677473396
2021-11-22,20748.24429141404
2021-11-23,108902.78901436622
2021-11-24,107526.68690534658
2021-11-25,200337.5997799167
2021-11-26,212023.94582194928
2021-11-27,40550.164081396535
2021-11-28,32455.757807357004
2021-11-29,60286.8409146145
2021-11-30,50270.85273566353
2021-12-01,113389.78645113902
2021-12-02,113129.4500745146
2021-12-03,117116.5647980976
2021-12-04,22897.63287809654
2021-12-05,60621.29919738602
2021-12-06,53380.90553973033
2021-12-07,65078.78239195119
2021-12-08,100926.1857533364
2021-12-09,100292.0599391358
2021-12-10,109693.27155098504
2021-12-11,15449.411910863128
2021-12-12,18555.05335618835
2021-12-13,76853.2407253962
2021-12-14,104090.9024281851
2021-12-15,78115.67255748878
2021-12-16,100251.7465280022
2021-12-17,74507.24214362353
2021-12-18,8036.458294044016
2021-12-19,18025.867519552587
2021-12-20,100766.91117318092
2021-12-21,321827.7232871072
2021-12-22,107888.82945742598
2021-12-23,37856.334075514926
2021-12-24,26223.752044184366
2021-12-25,343224.0142838776
2021-12-26,24962.42348754406
2021-12-27,105351.642731691
2021-12-28,67093.89154145936
2021-12-29,107774.8786870006
2021-12-30,301405.2472629424
2021-12-31,88573.72659935849
2022-01-01,56044.93475816981
2022-01-02,31695.691029101145
2022-01-03,122002.46102339753
2022-01-04,576733944.5599222
2022-01-05,170668551.10437286
2022-01-06,41249.82220992539
2022-01-07,483118567.67092246
2022-01-08,92464843.80361237
2022-01-09,256599477.79313576
2022-01-10,75515720.822206
2022-01-11,16643297.85406402
2022-01-12,1419301793.293597
2022-01-13,49942437.92152077
2022-01-14,35472555.89864081
2022-01-15,49048.68433605135
2022-01-16,34290.825664794305
2022-01-17,27668775.16608816
2022-01-18,76334002.74531704
2022-01-19,1028255520.0908622
2022-01-20,2336943024.802541
2022-01-21,1247163224.8871844
2022-01-22,14035.39873219002
2022-01-23,29008.79843839141
2022-01-24,8471677.252511209
2022-01-25,46050757.85625457
2022-01-26,2584952.42549371
2022-01-27,652960.4738203527
2022-01-28,135764670.15422297
2022-01-29,19906167.610289413
2022-01-30,1682657.5481109803
2022-01-31,135700489.81762612
2022-02-01,352850235.0862259
2022-02-02,1420081.1579816188
2022-02-03,1365406.124740712
2022-02-04,33017056.867282115
2022-02-05,887946.5358075853
2022-02-06,2741362.922870676
2022-02-07,29820199.06481023
2022-02-08,44653630.73403584
2022-02-09,888517207.4889705
2022-02-10,56823630.60430814
2022-02-11,87003886.16330285
2022-02-12,8424575.840166634
2022-02-13,12475071.531192731
2022-02-14,2879297.6577813337
2022-02-15,7367738.410957824
2022-02-16,5541029.42888744
2022-02-17,3210446.0733210407
2022-02-18,2325868.857424049
2022-02-19,10688180.058359506
2022-02-20,5407329.642985097
2022-02-21,10460072.90326232
2022-02-22,6555679.114564647
2022-02-23,1770173.4283342632
2022-02-24,7341923.364648718
2022-02-25,2940991.4356604693
2022-02-26,2101483.000638876
2022-02-27,2773247.527465505
2022-02-28,1524607.687480301
2022-03-01,974989.4494064422
2022-03-02,3134157.1952754827
2022-03-03,409557.1217515925
2022-03-04,4435961.177425832
2022-03-05,2520317.171383807
2022-03-06,8993588.052797055
2022-03-07,30193282.53261664
2022-03-08,3810457.858775044
2022-03-09,14490053.500856724
2022-03-10,16368191.360236663
2022-03-11,7776874.840989767
2022-03-12,663730.1798142882
2022-03-13,890182.0874809995
2022-03-14,1274785.1354702828
2022-03-15,1720299.8166677332
2022-03-16,4933968.4210067885
2022-03-17,5171697.845970355
2022-03-18,5340748.309689673
2022-03-19,5373493.815766114
2022-03-20,899453.0769204642
2022-03-21,708420.9674239876
2022-03-22,3901099.029777556
2022-03-23,4217420.685176985
2022-03-24,55925396.33665884
2022-03-25,1129796.5732030184
2022-03-26,255191.75378203
2022-03-27,5949133.888605763
2022-03-28,5541541.495896624
2022-03-29,26910920.958262548
2022-03-30,5418919.063164819
2022-03-31,2169818.6895757983
2022-04-01,618843.9859431081
2022-04-02,818107.4486651071
2022-04-03,242828.5310849489
2022-04-04,5841119.214202422
2022-04-05,20835783.967917696
2022-04-06,9686766.875407605
2022-04-07,0.0
2022-04-08,12951496.95271654
2022-04-09,1193030.8825883225
2022-04-10,2954341.1805068897
2022-04-11,2893648.7444164315
2022-04-12,3451500.7846070863
2022-04-13,14893391.752269266
2022-04-14,1918073.9673806664
2022-04-15,471344.3315521733
2022-04-16,654738.7574577569
2022-04-17,1196778.2035696176
2022-04-18,5002969.435883831
2022-04-19,1016221.401384496
2022-04-20,2805147.8967360714
2022-04-21,519779.0043319508
2022-04-22,1159489.253080214
2022-04-23,1453429.4885649732
2022-04-24,1079915.6913690325
2022-04-25,659529.7860812729
2022-04-26,731332.0132033573
2022-04-27,2011358.8278443413
2022-04-28,1411002.3787420895
2022-04-29,451483759.871987
2022-04-30,435461.8132404771
2022-05-01,676577.9326911904
2022-05-02,6990716.99238885
2022-05-03,0.0
2022-05-04,3610104.419932581
2022-05-05,16361975.89273978
2022-05-06,4000506.045461419
2022-05-07,607029.1674166084
2022-05-08,1414511.750020842
2022-05-09,5871103.536165479
2022-05-10,14743375.82632637
2022-05-11,9735331.405540254
2022-05-12,5663759.858540335
2022-05-13,1026353.9026785973
2022-05-14,2919628.480640273
2022-05-15,75825418.58981563
2022-05-16,2187844.3254920607
2022-05-17,4037248.0911696926
2022-05-18,8702568.287817892
2022-05-19,0.0
2022-05-20,20557574.510203224
2022-05-21,1664122.383961243
2022-05-22,1954085.2876743088
2022-05-23,9344571.427019702
2022-05-24,22717589.472237825
2022-05-25,2810467259.1303225
2022-05-26,19270195.44426293
2022-05-27,29126720.086904585
2022-05-28,2630247.847325779
2022-05-29,1818777.0406078089
2022-05-30,1102397924.5763876
2022-05-31,8773951.8809096
2022-06-01,1216950029.6976256
2022-06-02,6394109.304510226
2022-06-03,856913.4729572311
2022-06-04,1779892.8847442395
2022-06-05,2358280.8516384466
2022-06-06,16601494.06132863
2022-06-07,2035366.6502353344
2022-06-08,4688106.921483121
2022-06-09,3133600.074543071
2022-06-10,1872667.405954044
2022-06-11,1802796.477951889
2022-06-12,1663615.627778648
2022-06-13,621517654.9985178
2022-06-14,1342802.571815122
2022-06-15,4560646.344483948
2022-06-16,7440761.391048282
2022-06-17,851910.9271382922
2022-06-18,297800.8927091893
2022-06-19,572094.9100716764
2022-06-20,19105745.158449568
2022-06-21,8266487.918409871
2022-06-22,5952097.084190587
2022-06-23,12441427.781183269
2022-06-24,1466149.7928348132
2022-06-25,420621.17066514
2022-06-26,1120577.899380777
2022-06-27,6227896.340667973
2022-06-28,26993755.084963813
2022-06-29,16534414.924225612
2022-06-30,4866075.149099986
2022-07-01,4234764.573325516
2022-07-02,3678430.8609495945
2022-07-03,1726040.800327369
2022-07-04,8665332.191131176
2022-07-05,9231775.69028104
2022-07-06,2005151.3676860607
2022-07-07,24955773.59717733
2022-07-08,16565490.91994138
2022-07-09,3252612.0211107023
2022-07-10,607724.8915702982
2022-07-11,16030493.374617416
2022-07-12,10341461.609429045
2022-07-13,11125156.0750818
2022-07-14,8832998.905591723
2022-07-15,1346522.4324154663
2022-07-16,794276.4799665851
2022-07-17,1717472.004266678
2022-07-18,9585798.117010336
2022-07-19,5401021.067338371
2022-07-20,3921360.143315193
2022-07-21,35161865.338350914
2022-07-22,7020440.74637354
2022-07-23,5573327.739942677
2022-07-24,4832014.14982593
2022-07-25,16847190.287212804
2022-07-26,9947437.999763384
2022-07-27,4854960.16062915
2022-07-28,9402346.520445772
2022-07-29,3093031.3027799586
2022-07-30,3224847.058511393
2022-07-31,454216.1158150362
2022-08-01,12673222.401377814
2022-08-02,7218085.255814064
2022-08-03,2839826.1350374203
2022-08-04,12900286.018710826
2022-08-05,11304723.677129207
2022-08-06,1405053.4948479072
2022-08-07,2630137.2267829627
2022-08-08,3069580.681622921
2022-08-09,20876490.323890068
2022-08-10,129502374.04112253
2022-08-11,13128507.77197814
2022-08-12,1556641.403722854
2022-08-13,10369785.79255937
2022-08-14,10897853.190367509
2022-08-15,537377925.8540899
2022-08-16,6060331.262281438
2022-08-17,1198020.5574153727
2022-08-18,19227169.67845282
2022-08-19,1872538.851474559
2022-08-20,2059395.438768028
2022-08-21,1189794.242217088
2022-08-22,24881767.866829712
2022-08-23,17707835.01814384
2022-08-24,6475210.574320985
2022-08-25,10691070.580956738
2022-08-26,9478668.65897682
2022-08-27,1392473.4811429814
2022-08-28,1115024.3089316934
2022-08-29,7732559.724190544
2022-08-30,11690138.82980315
2022-08-31,15669286.762466788
2022-09-01,10355522.864106322
2022-09-02,2629288.213512586
2022-09-03,904391.6265573176
2022-09-04,704955.9152972354
2022-09-05,135766753.73352492
2022-09-06,21064756.89710992
2022-09-07,18429660.15649427
2022-09-08,10713283.369664283
2022-09-09,8239580.33634747
2022-09-10,1253282.7738754782
2022-09-11,694722.6901486851
