year_month,account,monthly_avg_staked_amount,days_active_in_month,monthly_avg_total_balance,monthly_avg_total_staked
2021-10,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1622492762.9098332,31,10344640790.536222,5437880887.040445
2021-11,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1644618703.7793667,30,10427355701.695917,5512330254.395542
2021-12,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1667001877.3258889,31,10510735356.275908,5518592096.669585
2022-01,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1691292995.1703014,31,10596163291.596704,5506965629.4718275
2022-02,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1035277676.5702151,28,10678096978.251553,8530504721.472508
2022-03,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,859585507.499682,31,10760674959.36261,8530381296.208062
2022-04,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,867408139.4251236,30,10846716341.52058,8716805347.859705
2022-05,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,648663819.0497136,31,10933449268.174917,8142279389.334288
2022-06,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,24237.528858166665,30,11020359117.670815,7848943115.171078
2022-07,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,24516.444158,7,11072286371.986423,8119044000.867053
2021-06,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,653501616.8139584,21,10030741219.57878,5155366855.65701
2021-07,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,661276867.5220616,31,10099088878.762686,5216877509.352282
2021-08,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,670585923.394916,31,10181171140.348505,5290752160.320512
2021-09,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,679876528.2923999,30,10262578672.732378,5364024005.297078
2021-10,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,689184600.0685457,31,10344640790.536222,5437880887.040445
2021-11,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,698597108.2977483,30,10427355701.695917,5512330254.395542
2021-12,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,707675864.0114348,28,10510735356.275908,5518592096.669585
2022-01,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,105901733.42117955,11,10596163291.596704,5506965629.4718275
2022-02,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,106569166.9296681,28,10678096978.251553,8530504721.472508
2022-03,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,107504709.44299117,31,10760674959.36261,8530381296.208062
2022-04,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,108465693.97911906,30,10846716341.52058,8716805347.859705
2022-05,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,88183181.0549451,31,10933449268.174917,8142279389.334288
2022-06,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,16096.870343,30,11020359117.670815,7848943115.171078
2022-07,3eUA4NnWufEqTBXR2QtTwjPxHZRGZvoqHaVjybmzZSqbuG32vJ,16096.870343,7,11072286371.986423,8119044000.867053
2021-06,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,402173649.55374485,21,10030741219.57878,5155366855.65701
2021-07,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,406969611.29209304,31,10099088878.762686,5216877509.352282
2021-08,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,412731939.20907277,31,10181171140.348505,5290752160.320512
2021-09,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,418447602.56612796,30,10262578672.732378,5364024005.297078
2021-10,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,424219183.34801435,31,10344640790.536222,5437880887.040445
2021-11,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,430034200.43017554,30,10427355701.695917,5512330254.395542
2021-12,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,435931724.97627383,31,10510735356.275908,5518592096.669585
2022-01,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,454710050.75488716,31,10596163291.596704,5506965629.4718275
2022-02,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,835678317.8638717,28,10678096978.251553,8530504721.472508
2022-03,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,843068184.2905233,31,10760674959.36261,8530381296.208062
2022-04,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,850738283.4259509,30,10846716341.52058,8716805347.859705
2022-05,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,858561942.4654547,31,10933449268.174917,8142279389.334288
2022-06,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,867811074.7827392,30,11020359117.670815,7848943115.171078
2022-07,3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,872894094.1933048,7,11072286371.986423,8119044000.867053
2021-06,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,0.0,21,10030741219.57878,5155366855.65701
2021-07,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,0.0,31,10099088878.762686,5216877509.352282
2021-08,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,0.0,31,10181171140.348505,5290752160.320512
2021-09,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,0.0,30,10262578672.732378,5364024005.297078
2021-10,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,0.0,31,10344640790.536222,5437880887.040445
2021-11,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,0.0,30,10427355701.695917,5512330254.395542
2021-12,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,0.0,31,10510735356.275908,5518592096.669585
2022-01,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,23186587.477709193,31,10596163291.596704,5506965629.4718275
2022-02,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,721856324.0667111,28,10678096978.251553,8530504721.472508
2022-03,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,728305539.7355139,31,10760674959.36261,8530381296.208062
2022-04,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,734948765.0744357,30,10846716341.52058,8716805347.859705
2022-05,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,741699846.5792437,31,10933449268.174917,8142279389.334288
2022-06,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,749658473.8820714,30,11020359117.670815,7848943115.171078
2022-07,44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,754222673.7790602,7,11072286371.986423,8119044000.867053
2021-06,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,402198479.30950874,21,10030741219.57878,5155366855.65701
2021-07,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,407076464.8090903,31,10099088878.762686,5216877509.352282
2021-08,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,412901277.03653747,31,10181171140.348505,5290752160.320512
2021-09,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,418657000.07328004,30,10262578672.732378,5364024005.297078
2021-10,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,424481864.4180399,31,10344640790.536222,5437880887.040445
2021-11,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,430360328.1482385,30,10427355701.695917,5512330254.395542
2021-12,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,436235226.80720866,31,10510735356.275908,5518592096.669585
2022-01,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,457292390.417612,31,10596163291.596704,5506965629.4718275
2022-02,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,903941390.9374706,28,10678096978.251553,8530504721.472508
2022-03,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,911960771.3621114,31,10760674959.36261,8530381296.208062
2022-04,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,920199052.5402038,30,10846716341.52058,8716805347.859705
2022-05,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,928604652.1785325,31,10933449268.174917,8142279389.334288
2022-06,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,938496897.186353,30,11020359117.670815,7848943115.171078
2022-07,47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,943740655.5480448,7,11072286371.986423,8119044000.867053
2021-06,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,402158408.8111604,21,10030741219.57878,5155366855.65701
2021-07,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,406957701.9551479,31,10099088878.762686,5216877509.352282
2021-08,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,412726226.0225602,31,10181171140.348505,5290752160.320512
2021-09,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,418447494.7227668,30,10262578672.732378,5364024005.297078
2021-10,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,424223291.57867974,31,10344640790.536222,5437880887.040445
2021-11,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,430068492.50653225,30,10427355701.695917,5512330254.395542
2021-12,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,435921531.29466546,31,10510735356.275908,5518592096.669585
2022-01,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,442214186.0864315,31,10596163291.596704,5506965629.4718275
2022-02,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,447084551.580409,28,10678096978.251553,8530504721.472508
2022-03,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,451049843.349738,31,10760674959.36261,8530381296.208062
2022-04,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,455125207.49198085,30,10846716341.52058,8716805347.859705
2022-05,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,310656267.2113404,31,10933449268.174917,8142279389.334288
2022-06,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,20984.299528,30,11020359117.670815,7848943115.171078
2022-07,49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,20984.299528,7,11072286371.986423,8119044000.867053
2021-06,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,550744294.0226676,21,10030741219.57878,5155366855.65701
2021-07,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,557325631.1317111,31,10099088878.762686,5216877509.352282
2021-08,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,565261110.23517,31,10181171140.348505,5290752160.320512
2021-09,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,573094821.0240699,30,10262578672.732378,5364024005.297078
2021-10,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,580976181.8618665,31,10344640790.536222,5437880887.040445
2021-11,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,588945976.2212504,30,10427355701.695917,5512330254.395542
2021-12,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,597006369.4128397,31,10510735356.275908,5518592096.669585
2022-01,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,605687351.4153259,31,10596163291.596704,5506965629.4718275
2022-02,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,612359538.8697037,28,10678096978.251553,8530504721.472508
2022-03,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,617756723.8477263,31,10760674959.36261,8530381296.208062
2022-04,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,623396116.0613201,30,10846716341.52058,8716805347.859705
2022-05,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,629045884.6610698,31,10933449268.174917,8142279389.334288
2022-06,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,635735089.9883378,30,11020359117.670815,7848943115.171078
2022-07,4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,639518454.0849495,7,11072286371.986423,8119044000.867053
2021-06,4Y9eZzPchSFargBz9toRNUbhkLEfxrm3tTzt4k6KG3j7vtvrn2,2600.0,6,10030741219.57878,5155366855.65701
2021-06,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,402155714.9356959,21,10030741219.57878,5155366855.65701
2021-07,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,406941479.5306371,31,10099088878.762686,5216877509.352282
2021-08,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,412629325.8340952,31,10181171140.348505,5290752160.320512
2021-09,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,418319785.9739951,30,10262578672.732378,5364024005.297078
2021-10,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,424087444.6446902,31,10344640790.536222,5437880887.040445
2021-11,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,429878982.73824334,30,10427355701.695917,5512330254.395542
2021-12,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,435720314.2318008,31,10510735356.275908,5518592096.669585
2022-01,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,450891156.13659286,31,10596163291.596704,5506965629.4718275
2022-02,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,722348541.1915863,28,10678096978.251553,8530504721.472508
2022-03,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,728731267.6969954,31,10760674959.36261,8530381296.208062
2022-04,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,735315122.0436934,30,10846716341.52058,8716805347.859705
2022-05,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,742021298.6461757,31,10933449268.174917,8142279389.334288
2022-06,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,749943835.9044944,30,11020359117.670815,7848943115.171078
2022-07,4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,754463866.2820946,7,11072286371.986423,8119044000.867053
2021-08,4FyFDVzHW2kc9VXcCtCVv5JpNysCddbVCz8uULZ6Vz4WoY1UJB,2500.0,16,10181171140.348505,5290752160.320512
2021-09,4FyFDVzHW2kc9VXcCtCVv5JpNysCddbVCz8uULZ6Vz4WoY1UJB,2500.0,30,10262578672.732378,5364024005.297078
2021-10,4FyFDVzHW2kc9VXcCtCVv5JpNysCddbVCz8uULZ6Vz4WoY1UJB,2702.7150541935484,31,10344640790.536222,5437880887.040445
2021-11,4FyFDVzHW2kc9VXcCtCVv5JpNysCddbVCz8uULZ6Vz4WoY1UJB,2785.64394,30,10427355701.695917,5512330254.395542
2021-12,4FyFDVzHW2kc9VXcCtCVv5JpNysCddbVCz8uULZ6Vz4WoY1UJB,2785.64394,31,10510735356.275908,5518592096.669585
2022-01,4FyFDVzHW2kc9VXcCtCVv5JpNysCddbVCz8uULZ6Vz4WoY1UJB,2785.64394,31,10596163291.596704,5506965629.4718275
2022-02,4FyFDVzHW2kc9VXcCtCVv5JpNysCddbVCz8uULZ6Vz4WoY1UJB,2785.6439399999995,28,10678096978.251553,8530504721.472508
2022-03,4FyFDVzHW2kc9VXcCtCVv5JpNysCddbVCz8uULZ6Vz4WoY1UJB,2785.64394,31,10760674959.36261,8530381296.208062
2022-04,4FyFDVzHW2kc9VXcCtCVv5JpNysCddbVCz8uULZ6Vz4WoY1UJB,2785.64394,30,10846716341.52058,8716805347.859705
2022-05,4FyFDVzHW2kc9VXcCtCVv5JpNysCddbVCz8uULZ6Vz4WoY1UJB,2785.64394,31,10933449268.174917,8142279389.334288
2022-06,4FyFDVzHW2kc9VXcCtCVv5JpNysCddbVCz8uULZ6Vz4WoY1UJB,2785.64394,30,11020359117.670815,7848943115.171078
2022-07,4FyFDVzHW2kc9VXcCtCVv5JpNysCddbVCz8uULZ6Vz4WoY1UJB,2785.6439399999995,7,11072286371.986423,8119044000.867053
2021-09,3e4k3jejVcMDKUvtbHXzey5GCrDeagJXD7UYWf1m4PiHPp84FJ,2900.0,24,10262578672.732378,5364024005.297078
2021-10,3e4k3jejVcMDKUvtbHXzey5GCrDeagJXD7UYWf1m4PiHPp84FJ,2900.0,31,10344640790.536222,5437880887.040445
2021-11,3e4k3jejVcMDKUvtbHXzey5GCrDeagJXD7UYWf1m4PiHPp84FJ,2900.0,30,10427355701.695917,5512330254.395542
2021-12,3e4k3jejVcMDKUvtbHXzey5GCrDeagJXD7UYWf1m4PiHPp84FJ,2900.0,31,10510735356.275908,5518592096.669585
2022-01,3e4k3jejVcMDKUvtbHXzey5GCrDeagJXD7UYWf1m4PiHPp84FJ,2900.0,31,10596163291.596704,5506965629.4718275
2022-02,3e4k3jejVcMDKUvtbHXzey5GCrDeagJXD7UYWf1m4PiHPp84FJ,2900.0,28,10678096978.251553,8530504721.472508
2022-03,3e4k3jejVcMDKUvtbHXzey5GCrDeagJXD7UYWf1m4PiHPp84FJ,2900.0,31,10760674959.36261,8530381296.208062
2022-04,3e4k3jejVcMDKUvtbHXzey5GCrDeagJXD7UYWf1m4PiHPp84FJ,2900.0,10,10846716341.52058,8716805347.859705
2021-09,4bSR9AYcp8kMuwVwGjZQTfwwaxVSptBcpUZKYDN13wMA6u6xNJ,2900.0,23,10262578672.732378,5364024005.297078
2021-10,4bSR9AYcp8kMuwVwGjZQTfwwaxVSptBcpUZKYDN13wMA6u6xNJ,2900.0,31,10344640790.536222,5437880887.040445
2021-11,4bSR9AYcp8kMuwVwGjZQTfwwaxVSptBcpUZKYDN13wMA6u6xNJ,3100.4156783333333,30,10427355701.695917,5512330254.395542
2021-12,4bSR9AYcp8kMuwVwGjZQTfwwaxVSptBcpUZKYDN13wMA6u6xNJ,3140.498814,31,10510735356.275908,5518592096.669585
2022-01,4bSR9AYcp8kMuwVwGjZQTfwwaxVSptBcpUZKYDN13wMA6u6xNJ,3140.498814,31,10596163291.596704,5506965629.4718275
2022-02,4bSR9AYcp8kMuwVwGjZQTfwwaxVSptBcpUZKYDN13wMA6u6xNJ,3140.498814,28,10678096978.251553,8530504721.472508
2022-03,4bSR9AYcp8kMuwVwGjZQTfwwaxVSptBcpUZKYDN13wMA6u6xNJ,3140.498814,31,10760674959.36261,8530381296.208062
2022-04,4bSR9AYcp8kMuwVwGjZQTfwwaxVSptBcpUZKYDN13wMA6u6xNJ,3140.498814,30,10846716341.52058,8716805347.859705
2022-05,4bSR9AYcp8kMuwVwGjZQTfwwaxVSptBcpUZKYDN13wMA6u6xNJ,3140.498814,31,10933449268.174917,8142279389.334288
2022-06,4bSR9AYcp8kMuwVwGjZQTfwwaxVSptBcpUZKYDN13wMA6u6xNJ,3140.498814,30,11020359117.670815,7848943115.171078
2022-07,4bSR9AYcp8kMuwVwGjZQTfwwaxVSptBcpUZKYDN13wMA6u6xNJ,3140.498814,7,11072286371.986423,8119044000.867053
2021-11,3dUfqYpEMJz49UstE2kNi5hkq8rgupTjbTGBtMBPBTMXsYYXDr,16400.0,7,10427355701.695917,5512330254.395542
2021-12,3dUfqYpEMJz49UstE2kNi5hkq8rgupTjbTGBtMBPBTMXsYYXDr,16400.0,31,10510735356.275908,5518592096.669585
